question,reponse
Est-ce que je m'attends à recevoir le même niveau de service?,Oui. Nous souhaitons confirmer que nos plans de transition garantiront que ce changement de propriétaire et de marque n'aura aucun impact sur les produits et services dont vous bénéficiez actuellement avec notre Banque. Toutes nos succursales/effectifs continueront à fonctionner comme d'habitude. Nous veillerons à vous communiquer tout développement/changement potentiel en temps opportun..
Quels sont les autres produits et services qu'Attijariwafa bank va me proposer ??,"B. De nouveaux produits et services seront développés en permanence à partir du large catalogue d'Attijariwafa bank, nous vous informerons de ces offres en temps utile.."
Allez-vous modifier les prix et les frais?,"Non, nous ne modifierons pas les prix ou les frais de nos produits et services. Dans le cas où les frais ou les prix seraient modifiés, cela ne sera pas lié au changement d'identité et de logo de la banque. Nous communiquerons en permanence avec vous tout développement ou changement de prix ou de frais."
Y a-t-il certaines procédures à effectuer de mon côté ??,Aucune procédure supplémentaire n’est requise de votre part.
Mes numéros de compte de dépôt changeront-ils?,"Non, vos numéros de compte de dépôt ne changeront pas."
Y aurait-il des changements dans les taux d'intérêt lors de l'utilisation de ma carte de crédit portant le logo de la nouvelle banque ??,"Non, les taux d'intérêt sur vos transactions par carte de crédit resteront les mêmes et tout changement pouvant survenir dans les taux d'intérêt ne sera pas lié au changement d'identité et de logo de la banque. Nous communiquerons en permanence avec vous tout développement ou changement dans les taux d'intérêt des cartes de crédit.."
Qu’est ce qui change avec l'espace Libre-Service?,La quasi-totalité de vos opérations habituelles sera traitée entre le nouvel espace Libre-Service Bancaire de 7h à 21h et votre conseiller en agence. Votre conseiller et l’assistant Libre-Service Bancaire sont là pour vous accompagner.
Quelles sont les opérations que je peux effectuer dans l’espace Libre-Service Bancaire?,"Versement espèces (Compte courant, chèque et sur carnet) Retrait espèce Consultation de solde Mini relevé Dépôt chèque Cash Express Automatic Paiement de factures Recharge mobile Recharge carte prépayée (Wajda) Virement Compte à Compte Commande de chéquier Changement de code PIN Edition RIB Récupération code CRC Renseignement numéro GSM pour 3DSecure"
Quelles sont les opérations que je ne peux pas traiter dans mon agence?,Nous vous proposons de traiter les opérations suivantes dans votre agence Relais de proximité sans frais supplémentaires et sans limitation de montant: Retrait chèque Retrait sans chéquier Change manuel Retrait/Versement de montants supérieurs à 8 000 dh
Quelle est mon agence Relais à Casablanca?,"L’agence Relais est Casa Gauthier Code 0120, Adressse : Angle Rues Taha Houcine & Mustapha El Manfalouti – Tél. : 05 22 29 39 45//05 22 29 39 46//05 29 02 02 30 – Fax : 05 22 26 78 48 - Casablanca"
Dois-je payer un coût supplémentaire pour les opérations à traiter dans l’agence Relais?,Aucun coût supplémentaire.
Quels sont les plafonds pratiqués dans l’agence Relais?,Aucun plafond.
Vers quelle agence dois-je orienter le bénéficiaire d’un chèque que j’ai émis?,"L’agence Relais est Casa Gauthier Code 0120, Adressse : Angle Rues Taha Houcine & Mustapha El Manfalouti – Tél. : 05 22 29 39 45//05 22 29 39 46//05 29 02 02 30 – Fax : 05 22 26 78 48 - Casablanca"
Qu'est-ce qu'un FPCT ?,Le Fonds de Placement Collectifs en Titrisation (FPCT) est l'entité juridique ad hoc créée pour les besoins d'une opération de titrisation donnée et qui va se charger d'acquérir les actifs et de recevoir les flux de paiement y afférents afin de rémunérer les investisseurs.
Comment est créé un nouveau FPCT ?,"L'agrément du FPCT passe par la validation de l'AMMC de la documentation juridique du Fond. La liste minimale des documents rédigés est le Règlement de gestion, le Document d'information, la Convention dépositaire, de cession, de placement, de recouvrement et de compte de recouvrement."
Que signifie la subordination des titres émis par un FPCT ?,"Les catégories des titres émis par un FPCT peuvent être subordonnées les unes aux autres, dans les conditions prévues au règlement de gestion, de tel sorte à supporter en priorité tout ou partie des risques auxquels le FPCT est exposé."
Quels sont les mécanismes de sécurité utilisés par un FPCT ?,"Parmi les mécanismes de sécurité adoptés par les FPCT, le rehaussement, la subordination et l'Excess Spread sont les plus utilisés. Dans certains cas, le Fond peut grever de sûreté les actifs éligibles acquis au profit des investisseurs, si le règlement de gestion le prévoit."
Dans quelle mesure la titrisation contribue-t-elle à l'optimisation du coût de financement?,Le coût de financement lié à une opération de titrisation est directement lié au taux du BDT avec une prime de risque qui reflète la qualité de l'actif.
Quelles sont les différentes catégories des certificats de Sukuks?,"Les catégories de certificats de Sukuk pouvant être émises par un FPCT sont les certificats de Sukuks de financement, les certificats de Sukuks Ijara, les certificats de Sukuks d’investissement et les certificats de Sukuks de portefeuille d’investissement."
Dans quelle finalité est utilisée chacune des catégories des certificats de Sukuks?,"Les Sukuks de financement sont utilisés pour l'acquisition d'actifs, les Sukuks Ijara pour la location d'actifs, les Sukuks d’investissement pour financer des projets et les Sukuks de portefeuille d'investissement pour investir dans un portefeuille d'actifs."
Quels sont les clients potentiels d'un financement par la titrisation à travers l'émission des Sukuks?,"Les clients potentiels incluent les banques participatives, les entreprises privées ou publiques, et d'autres organismes cherchant des sources de financement conformes à la Chariaa."
Quels sont les objectifs économiques d'une émission de certificats de Sukuks?,"Les objectifs incluent l'accès à une base élargie d'investisseurs Chariaa Compliant, en plus des investisseurs conventionnels, pour diversifier les sources de financement."
Comment intervient le Conseil Supérieur des Ouléma (CSO) dans le contrôle de la conformité chariatique du FPCT?,Le FPCT qui émet des Sukuks doit garantir le respect des avis conformes du Conseil Supérieur des Ouléma en lui adressant un rapport annuel sur la conformité de ses opérations et activités.
Quelles sont les conditions pour ouvrir un compte L'bankalik?,"L'ouverture d'un compte L'bankalik est accessible à tous les marocains résidant au Maroc ou à l'étranger, ainsi qu'aux Très Petites Entreprises et aux auto-entrepreneurs. Les conditions sont d'être âgé(e) de 18 ans et plus, de télécharger l'application L'bankalik et de suivre les étapes d'ouverture de compte décrites sur le site officiel."
"Je suis Marocain Résident à l'Etranger, puis-je ouvrir un compte L'bankalik?","Oui, l'ouverture d'un compte L'bankalik est accessible aux Marocains du Monde."
Quels documents dois-je fournir pour ouvrir un compte L'bankalik?,"Les documents requis dépendent de votre situation. Si vous êtes marocain résidant au Maroc, vous aurez besoin de votre carte d’identité (CNIE) et d'un justificatif de domicile récent. Si vous êtes Marocain Résidant à l'Etranger, vous aurez besoin d'une copie de votre CNIE en cours de validité, d'une copie de votre carte de séjour ou de votre pièce d'identité étrangère, et d'un justificatif de domicile récent. Pour les Très Petites Entreprises ou les auto-entrepreneurs, les documents requis incluent la carte d’identité (CNIE), une copie du RC et/ou la carte d’auto-entrepreneur, et un justificatif de domicile récent."
Est-il possible d'ouvrir un compte L'bankalik en agence?,"Non, l'ouverture de compte L'bankalik se fait exclusivement en ligne depuis l'application mobile L'bankalik."
"Je souhaite fermer mon compte bancaire actuel et ouvrir un compte L'bankalik, est-ce possible?","Oui, vous pouvez ouvrir votre compte L'bankalik depuis l'application et clôturer votre compte actuel auprès de votre agence bancaire. Vous devrez présenter votre RIB L'bankalik au service des Ressources Humaines de votre employeur pour continuer à recevoir votre salaire sur votre nouveau compte bancaire."
Suis-je obligé(e) de verser une somme minimale pour ouvrir mon compte L'bankalik?,"Non, aucun versement n’est exigé lors de l’ouverture de votre compte L'bankalik."
Puis-je ouvrir mon compte L'bankalik à partir de mon mobile?,"Oui, L'bankalik est une marque de services bancaires 100% Mobile. Vous pouvez ouvrir votre compte et le gérer depuis l'application L'bankalik sur votre smartphone."
Dois-je envoyer les copies de mes pièces justificatives par e-mail pour que ma demande soit prise en compte?,"Non, tous les documents doivent être scannés et soumis dans le cadre des étapes d'ouverture de compte depuis l'application L'bankalik."
Quand aurais-je une réponse concernant ma demande d'ouverture de compte L'bankalik?,Vous serez contacté(e) par un conseiller L’bankalik dans les 48 heures suivant la soumission de votre demande depuis l'application.
Est-ce que je peux sélectionner l'agence de mon choix?,"Oui, vous pouvez sélectionner l'agence Attijariwafa bank de votre choix depuis l'application L'bankalik."
Est-il possible de modifier la date et l'heure de mon rendez-vous pour l'appel vidéo avec un conseiller L'bankalik?,"Oui, vous pouvez modifier votre rendez-vous en contactant votre conseiller L’bankalik au numéro indiqué."
Comment suivre le statut de mon ouverture de compte?,Vous pouvez consulter le statut de votre demande en vous connectant à votre application L'bankalik avec l'identifiant et le mot de passe reçus lors de l'ouverture de compte.
